id_bact,id_treatment,date,ecoli_conc,experiment
1,6,2025-05-14,1600,1_1
2,6,2025-05-14,3478.260869565217,1_1
3,6,2025-05-14,937.5,1_1
4,9,2025-05-14,0,1_1
5,9,2025-05-14,0,1_1
6,9,2025-05-14,0,1_1
7,6,2025-05-19,66.66666666666667,1_1
8,6,2025-05-19,285.7142857142857,1_1
9,6,2025-05-19,344.82758620689657,1_1
10,9,2025-05-19,52.63157894736842,1_1
11,9,2025-05-19,0,1_1
12,9,2025-05-19,125,1_1
13,10,2025-07-23,132394366.1971831,1_1
14,11,2025-07-23,241935483.87096775,1_1
15,12,2025-07-23,107058823.52941176,1_1
16,13,2025-07-23,7222222.222222222,1_1
17,14,2025-07-23,15740740.740740739,1_1
18,15,2025-07-23,76530612.24489796,1_1
19,16,2025-07-23,74074.07407407407,1_1
20,17,2025-07-23,0,1_1
21,18,2025-07-23,760.8695652173914,1_1
22,19,2025-07-24,298245614.03508776,1_1
23,20,2025-07-24,84210526.31578948,1_1
24,21,2025-07-24,160439560.43956044,1_1
25,22,2025-07-24,134579439.25233644,1_1
26,23,2025-07-24,221276595.74468085,1_1
27,24,2025-07-24,200000000,1_1
28,29,2025-07-24,0,1_1
29,30,2025-07-24,0,1_1
30,31,2025-07-24,0,1_1
31,77,2025-08-19,1721698113.2075472,1_1
32,85,2025-08-19,1402542372.881356,1_1
33,87,2025-08-19,0,1_1
34,88,2025-08-19,7.092198581560284,1_1
35,89,2025-08-19,0,1_1
36,90,2025-08-19,848684210.5263158,1_1
37,91,2025-08-19,508547008.5470086,1_1
38,92,2025-08-19,1628205128.2051282,1_1
39,93,2025-08-19,532846715.32846713,1_1
40,94,2025-08-19,736666666.6666666,1_1
41,95,2025-08-19,675324675.3246753,1_1
42,118,2025-08-21,442.8571428571429,1_1
43,116,2025-08-21,217.05426356589146,1_1
44,108,2025-08-21,113.33333333333333,1_1
45,103,2025-08-21,12445652.173913043,1_1
46,104,2025-08-21,2806122.448979592,1_1
47,105,2025-08-21,4312500,1_1
48,110,2025-08-21,10400000000,1_1
49,111,2025-08-21,11129032258.064516,1_1
50,112,2025-08-21,11056338028.169014,1_1
51,101,2025-08-21,25468750,1_1
52,102,2025-08-21,3775510.2040816327,1_1
53,103,2025-08-21,220338983.05084747,1_1
54,117,2025-08-21,2869158878.5046725,1_1
55,109,2025-08-21,333333333.3333334,1_1
56,119,2025-08-27,0,1_1
57,120,2025-08-27,0,1_1
58,121,2025-08-27,7079646.017699116,1_1
59,122,2025-08-27,4687500,1_1
60,123,2025-08-27,437500,1_1
61,124,2025-08-27,155339.8058252427,1_1
62,125,2025-08-27,0,1_1
63,126,2025-08-27,0,1_1
64,127,2025-08-27,0,1_1
1,1,2025-08-27,0,1_2
2,2,2025-08-27,123893805.30973452,1_2
3,3,2025-08-27,0,1_2
4,4,2025-08-27,66101694.91525424,1_2
5,5,2025-08-27,165625000,1_2
6,6,2025-08-27,1600000000,1_2
7,7,2025-08-27,4268292682.9268293,1_2
8,8,2025-08-27,3150000000,1_2
9,9,2025-08-27,3757961783.4394903,1_2
10,10,2025-08-27,9843750000,1_2
11,11,2025-08-27,7946428571.428571,1_2
12,12,2025-08-27,0,1_2
13,13,2025-08-27,0,1_2
14,14,2025-08-27,0,1_2
15,15,2025-08-27,1069306930.6930693,1_2
16,16,2025-08-27,491596638.6554622,1_2
17,17,2025-08-27,1414814814.8148148,1_2
18,18,2025-08-27,897350993.3774835,1_2
19,19,2025-08-27,671875000,1_2
20,20,2025-08-27,38815789.47368421,1_2
21,21,2025-08-27,NA,1_2
