id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,dry_weight_14dpi
1,1,1,2025-05-08T00:00:00Z,25.7,x,x
2,1,1,2025-05-08T00:00:00Z,27.05,NA,NA
3,1,1,2025-05-08T00:00:00Z,26.400000000000002,NA,NA
4,2,1,2025-05-08T00:00:00Z,23.95,NA,NA
5,3,1,2025-05-08T00:00:00Z,26.569999999999997,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA
7,4,1,2025-05-08T00:00:00Z,26.169999999999998,NA,NA
8,4,1,2025-05-08T00:00:00Z,26.31,NA,NA
9,6,1,2025-05-08T00:00:00Z,26.74,NA,NA
10,7,2,2025-07-09T00:00:00Z,20.919999999999998,NA,NA
11,7,2,2025-07-09T00:00:00Z,21.470000000000002,NA,NA
12,7,2,2025-07-09T00:00:00Z,21.849999999999998,NA,NA
13,8,2,2025-07-09T00:00:00Z,20.139999999999997,NA,NA
14,8,2,2025-07-09T00:00:00Z,20.95,NA,NA
15,8,2,2025-07-09T00:00:00Z,21.59,NA,NA
16,9,2,2025-07-09T00:00:00Z,21.790000000000003,NA,NA
17,9,2,2025-07-09T00:00:00Z,21.02,NA,NA
18,9,2,2025-07-09T00:00:00Z,22.209999999999997,NA,NA
19,10,3,2025-07-10T00:00:00Z,22.209999999999997,NA,NA
20,10,3,2025-07-10T00:00:00Z,21.709999999999997,NA,NA
21,10,3,2025-07-10T00:00:00Z,21.94,NA,NA
22,11,3,2025-07-10T00:00:00Z,21.74,NA,NA
23,11,3,2025-07-10T00:00:00Z,21.05,NA,NA
24,11,3,2025-07-10T00:00:00Z,21.55,NA,NA
25,12,3,2025-07-10T00:00:00Z,20.470000000000002,NA,NA
26,12,3,2025-07-10T00:00:00Z,21.429999999999996,NA,NA
27,12,3,2025-07-10T00:00:00Z,21.220000000000002,NA,NA
28,12,3,2025-07-10T00:00:00Z,21.999999999999996,NA,NA
29,13,3,2025-07-10T00:00:00Z,21.179999999999996,NA,NA
30,13,3,2025-07-10T00:00:00Z,23.02,NA,NA
31,13,3,2025-07-10T00:00:00Z,22.639999999999997,NA,NA
32,14,4,2025-07-15T00:00:00Z,20.3,NA,NA
33,14,4,2025-07-15T00:00:00Z,21.22,NA,NA
34,14,4,2025-07-15T00:00:00Z,22.01,NA,NA
35,15,4,2025-07-15T00:00:00Z,21.22,NA,NA
36,15,4,2025-07-15T00:00:00Z,21.86,NA,NA
37,15,4,2025-07-15T00:00:00Z,21.57,NA,NA
38,16,4,2025-07-15T00:00:00Z,21.61,NA,NA
39,16,4,2025-07-15T00:00:00Z,21.39,NA,NA
40,16,4,2025-07-15T00:00:00Z,22.02,NA,NA
41,17,4,2025-07-15T00:00:00Z,20.99,NA,NA
42,18,4,2025-07-15T00:00:00Z,21.26,NA,NA
